的 dí,dì,de
不 bù,fǒu
了 liǎo,le
有 yǒu,yòu
这 zhè,zhèi
个 gè,gě
上 shàng,shǎng
她 tā,jiě
大 dà,dài,tài
中 zhōng,zhòng
说 shuō,shuì,yuè
为 wéi,wèi
着 zhuó,zháo,zhāo,zhe
得 dé,děi,de
要 yào,yāo
地 dì,de
那 nà,nǎ,nèi,nā
和 hé,hè,huó,huò,hú
可 kě,kè
会 huì,kuài
过 guò,guo,guō
么 mó,ma,me,yāo
好 hǎo,hào
看 kàn,kān
家 jiā,jia,jie
能 néng,nài
没 méi,mò
只 zhī,zhǐ
还 huán,hái
发 fā,fà
行 háng,xíng
见 jiàn,xiàn
都 dū,dōu
知 zhī,zhì
头 tóu,tou
分 fēn,fèn
把 bǎ,bà
当 dāng,dàng
同 tóng,tòng
其 qí,jī
与 yǔ,yù,yú
从 cóng,zòng
什 shí,shén
些 xiē,suò
将 jiāng,jiàng
长 cháng,zhǎng
女 nǚ,rǔ
间 jiān,jiàn
种 zhǒng,zhòng,chóng
相 xiāng,xiàng
正 zhèng,zhēng
数 shù,shǔ,shuò
信 xìn,shēn
系 xì,jì
应 yīng,yìng
何 hé,hē,hè
便 biàn,pián
重 zhòng,chóng
给 gěi,jǐ
并 bìng,bīng
打 dǎ,dá
处 chǔ,chù
几 jī,jǐ
别 bié,biè
被 bèi,pī
结 jié,jiē
少 shǎo,shào
合 hé,gě
内 nèi,nà
体 tǐ,tī
夫 fū,fú
王 wáng,wàng
化 huà,huā
据 jù,jū
觉 jué,jiào
提 tí,dī,dǐ
解 jiě,jiè,xiè
难 nán,nàn,nuó
更 gēng,gèng
亲 qīn,qìng
风 fēng,fěng
教 jiào,jiāo
度 dù,duó
任 rèn,rén
各 gè,gě
语 yǔ,yù
许 xǔ,hǔ
思 sī,sāi
呢 ní,ne
且 qiě,jū
服 fú,fù
场 cháng,chǎng
万 wàn,mò
若 ruò,rě
量 liáng,liàng
转 zhuǎn,zhuàn,zhuǎi
吗 má,mǎ,ma
似 sì,shì
车 chē,jū
强 qiáng,qiǎng,jiàng
论 lùn,lún
传 chuán,zhuàn
干 gān,gàn
条 tiáo,tiāo
员 yuán,yún,yùn
吧 bā,ba
南 nán,nā
北 běi,bèi
模 mó,mú
空 kōng,kòng,kǒng
远 yuǎn,yuàn
令 líng,lǐng,lìng
术 shù,shú,zhú
拉 lā,lá
华 huá,huà,huā
父 fù,fǔ
红 hóng,gōng
识 shí,zhì
期 qī,jī
倒 dǎo,dào
区 qū,ōu
切 qiē,qiè
落 là,luò,lào
单 dān,shàn,chán
调 tiáo,diào,zhōu
石 shí,dàn
弟 dì,tì,tuí
济 jì,jǐ
句 jù,gōu
尽 jìn,jǐn
答 dá,dā
奇 qí,jī
台 tái,tāi
兴 xīng,xìng
共 gòng,gōng
乐 lè,yuè,yào,lào
曾 zēng,céng
约 yuē,yāo
甚 shèn,shén
待 dài,dāi
观 guān,guàn
六 liù,lù
片 piàn,piān
研 yán,yàn
节 jié,jiē
阿 ā,ē
哪 nǎ,něi,na,né
查 chá,zhā
委 wěi,wēi
广 guǎng,ān
参 cān,shēn,cēn,sān
朝 zhāo,cháo
称 chēng,chèn,chèng
底 dǐ,de
号 hào,háo
啊 ā,á,ǎ,à,a
采 cǎi,cài
差 chà,chā,chāi,cī
省 shěng,xǐng
假 jiǎ,jià
喝 hē,hè,yè
莫 mò,mù
纪 jì,jǐ
丽 lì,lí
角 jiǎo,jué
否 fǒu,pǐ
冲 chōng,chòng
背 bèi,bēi
血 xiě,xuè
旁 páng,bàng
齐 qí,jì,zī,zhāi
罢 bà,ba,pí
疑 yí,nǐ
供 gōng,gòng
县 xiàn,xuán
率 shuài,lǜ
恶 è,wù,ě,wū
读 dú,dòu
价 jià,jiè,jie
雨 yǔ,yù
属 shǔ,zhǔ
络 luò,lào
露 lòu,lù
助 zhù,chú
景 jǐng,yǐng
责 zé,zhài
伯 bó,bǎi,bà
呀 yā,ya
跑 pǎo,páo
哈 hā,hǎ,hà
划 huá,huà
仅 jǐn,jìn
适 shì,kuò
追 zhuī,duī
校 xiào,jiào
孙 sūn,xùn
氏 shì,zhī
散 sàn,sǎn
排 pái,pǎi
副 fù,pì
食 shí,sì,yì
佛 fó,fú,bì,bó
跳 tiào,táo
创 chuàng,chuāng
斗 dǒu,dòu
沙 shā,shà
妻 qī,qì
渐 jiàn,jiān
藏 cáng,zàng
弄 nòng,lòng
咱 zán,zá,zǎ
织 zhī,zhì
苏 sū,sù
朱 zhū,shú
隐 yǐn,yìn
毒 dú,dài
担 dān,dàn,dǎn
著 zhù,zhuó,zhe
曲 qū,qǔ
禁 jīn,jìn
叶 yè,xié
份 fèn,bīn
戏 xì,hū
射 shè,yè,yì
燕 yàn,yān
卡 qiǎ,kǎ
啦 lā,la
压 yā,yà
盖 gài,gě,hé
监 jiān,jiàn
刺 cì,cī
宁 níng,nìng,zhù
休 xiū,xǔ
郎 láng,làng
占 zhān,zhàn
